,Date,Open,High,Low,Close,Adj Close,Volume
3367,"Jun 9, 2015",228.54,230.95,227.93,229.05,229.05,"28,353,100"
3368,"Jun 8, 2015",222.88,229.46,222.84,228.49,228.49,"23,378,400"
3369,"Jun 7, 2015",225.60,226.19,222.65,222.88,222.88,"13,318,400"
3370,"Jun 6, 2015",225.01,225.72,224.38,225.62,225.62,"11,131,500"
3371,"Jun 5, 2015",224.15,225.97,223.18,224.95,224.95,"18,056,500"
3372,"Jun 4, 2015",225.77,226.58,224.05,224.32,224.32,"14,728,100"
3373,"Jun 3, 2015",225.74,227.40,223.93,225.87,225.87,"17,752,400"
3374,"Jun 2, 2015",222.89,226.42,222.42,225.80,225.80,"20,459,000"
3375,"Jun 1, 2015",230.23,231.71,221.30,222.93,222.93,"26,090,500"
3376,"May 31, 2015",233.13,233.25,229.54,230.19,230.19,"14,730,800"
3377,"May 30, 2015",237.09,237.09,232.05,233.35,233.35,"14,098,600"
3378,"May 29, 2015",237.38,237.52,235.73,237.10,237.10,"14,805,000"
3379,"May 28, 2015",237.26,237.82,236.65,237.41,237.41,"13,829,600"
3380,"May 27, 2015",237.07,238.64,236.70,237.28,237.28,"18,837,000"
3381,"May 26, 2015",237.10,238.24,235.69,237.12,237.12,"16,425,000"
3382,"May 25, 2015",240.93,241.02,236.64,237.11,237.11,"14,423,900"
3383,"May 24, 2015",238.98,241.98,238.81,240.95,240.95,"11,508,000"
3384,"May 23, 2015",240.29,241.02,238.69,238.87,238.87,"14,605,000"
3385,"May 22, 2015",235.32,240.97,235.06,240.35,240.35,"27,003,000"
3386,"May 21, 2015",234.02,236.24,233.84,235.34,235.34,"15,108,900"
3387,"May 20, 2015",231.89,234.68,231.84,234.02,234.02,"15,499,400"
3388,"May 19, 2015",233.04,234.15,231.82,231.95,231.95,"14,241,900"
3389,"May 18, 2015",236.89,237.21,232.46,233.13,233.13,"16,780,300"
3390,"May 17, 2015",236.01,238.02,236.01,236.80,236.80,"11,134,300"
3391,"May 16, 2015",237.64,237.70,235.29,236.15,236.15,"11,089,700"
3392,"May 15, 2015",236.96,238.75,236.79,237.60,237.60,"16,329,400"
3393,"May 14, 2015",236.21,237.80,234.06,236.93,236.93,"24,413,700"
3394,"May 13, 2015",241.40,243.70,235.04,236.38,236.38,"27,180,100"
3395,"May 12, 2015",242.15,242.88,240.10,241.11,241.11,"19,282,600"
3396,"May 11, 2015",240.30,244.27,239.38,242.16,242.16,"20,892,300"
3397,"May 10, 2015",241.73,244.07,238.85,240.30,240.30,"15,019,100"
3398,"May 9, 2015",243.77,247.80,239.64,241.83,241.83,"19,790,500"
3399,"May 8, 2015",237.20,246.27,236.27,243.86,243.86,"27,445,500"
3400,"May 7, 2015",229.66,239.10,228.57,237.33,237.33,"29,064,400"
3401,"May 6, 2015",236.25,236.45,229.23,229.78,229.78,"29,587,200"
3402,"May 5, 2015",238.85,239.20,232.05,236.12,236.12,"23,929,100"
3403,"May 4, 2015",240.36,242.64,237.81,239.02,239.02,"21,223,400"
3404,"May 3, 2015",234.88,243.24,234.08,240.36,240.36,"18,494,100"
3405,"May 2, 2015",232.34,235.73,232.34,234.93,234.93,"12,535,500"
3406,"May 1, 2015",235.94,238.97,232.08,232.08,232.08,"18,815,300"
3407,"Apr 30, 2015",225.69,239.56,224.99,236.15,236.15,"33,818,600"
3408,"Apr 29, 2015",225.59,227.04,223.43,225.81,225.81,"18,936,500"
3409,"Apr 28, 2015",228.97,229.49,223.07,225.85,225.85,"21,469,200"
3410,"Apr 27, 2015",219.43,233.30,218.02,229.29,229.29,"38,574,000"
3411,"Apr 26, 2015",226.41,226.94,214.87,219.43,219.43,"28,943,700"
3412,"Apr 25, 2015",231.24,232.56,226.34,226.39,226.39,"13,957,200"
3413,"Apr 24, 2015",235.97,236.30,229.93,231.27,231.27,"21,448,700"
3414,"Apr 23, 2015",234.05,236.48,233.20,236.46,236.46,"17,036,000"
3415,"Apr 22, 2015",235.60,237.91,233.48,234.18,234.18,"23,847,900"
3416,"Apr 21, 2015",224.62,235.27,224.30,235.27,235.27,"24,978,000"
3417,"Apr 20, 2015",222.61,226.35,221.98,224.63,224.63,"18,364,700"
3418,"Apr 19, 2015",223.46,226.35,222.37,222.60,222.60,"15,021,500"
3419,"Apr 18, 2015",222.85,224.32,220.88,223.36,223.36,"12,939,000"
3420,"Apr 17, 2015",228.57,228.91,221.94,222.88,222.88,"20,429,800"
3421,"Apr 16, 2015",223.92,229.67,223.92,228.57,228.57,"24,805,400"
3422,"Apr 15, 2015",219.07,223.83,218.65,223.83,223.83,"22,562,000"
3423,"Apr 14, 2015",224.76,224.98,216.32,219.16,219.16,"31,719,000"
3424,"Apr 13, 2015",235.95,236.93,222.00,224.59,224.59,"31,181,800"
3425,"Apr 12, 2015",236.54,237.73,233.49,236.15,236.15,"12,387,900"
3426,"Apr 11, 2015",236.02,239.54,234.18,236.55,236.55,"16,365,200"
3427,"Apr 10, 2015",243.69,243.69,232.77,236.07,236.07,"28,882,000"
3428,"Apr 9, 2015",244.75,246.12,239.40,243.68,243.68,"21,643,500"
3429,"Apr 8, 2015",253.06,253.85,244.21,245.02,245.02,"30,086,400"
3430,"Apr 7, 2015",255.27,255.80,252.21,253.18,253.18,"18,467,400"
3431,"Apr 6, 2015",260.72,261.80,254.57,255.49,255.49,"20,034,200"
3432,"Apr 5, 2015",253.76,260.67,251.94,260.60,260.60,"19,649,200"
